artiste,track,genre,date.entered,date.peaked,x1st.week,x2nd.week,x3rd.week,x4th.week,x5th.week,x6th.week,x7th.week,x8th.week,x9th.week,x10th.week,x11th.week,x12th.week,x13th.week,x14th.week,x15th.week,x16th.week,x17th.week,x18th.week,x19th.week,x20th.week,x21st.week,x22nd.week,x23rd.week,x24th.week,x25th.week,x26th.week,x27th.week,x28th.week,x29th.week,x30th.week,x31st.week,x32nd.week,x33rd.week,x34th.week,x35th.week,x36th.week,x37th.week,x38th.week,x39th.week,x40th.week,x41st.week,x42nd.week,x43rd.week,x44th.week,x45th.week,x46th.week,x47th.week,x48th.week,x49th.week,x50th.week,x51st.week,x52nd.week,x53rd.week,x54th.week,x55th.week,x56th.week,x57th.week,x58th.week,x59th.week,x60th.week,x61st.week,x62nd.week,x63rd.week,x64th.week,x65th.week,x66th.week,x67th.week,x68th.week,x69th.week,x70th.week,x71st.week,x72nd.week,x73rd.week,x74th.week,x75th.week,x76th.week
"Rogers, Kenny",Buy Me A Rose,Country,2000-03-11,2000-05-06,79,72.0,65.0,65.0,54.0,46.0,46.0,43.0,40.0,40.0,46.0,54.0,58.0,66.0,73.0,82.0,86.0,84.0,88.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lawrence, Tracy",Lessons Learned,Country,2000-01-29,2000-04-08,80,73.0,61.0,61.0,48.0,48.0,48.0,48.0,44.0,42.0,40.0,40.0,50.0,66.0,81.0,93.0,94.0,99.0,99.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Strait, George",Go On,Country,2000-08-26,2000-10-28,71,67.0,63.0,56.0,53.0,48.0,46.0,46.0,44.0,40.0,44.0,46.0,49.0,56.0,56.0,71.0,78.0,88.0,95.0,,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sisqo,Got To Get It,Rock,1999-11-20,2000-01-22,92,76.0,73.0,58.0,48.0,48.0,48.0,48.0,49.0,40.0,43.0,51.0,50.0,57.0,63.0,64.0,68.0,82.0,88.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baha Men,Who Let The Dogs Out,R&B,2000-07-22,2000-10-21,99,92.0,85.0,76.0,65.0,54.0,61.0,58.0,54.0,54.0,53.0,53.0,43.0,40.0,44.0,41.0,51.0,65.0,78.0,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Walker, Clay",The Chain Of Love,Country,2000-04-15,2000-06-10,73,65.0,57.0,57.0,51.0,48.0,44.0,43.0,40.0,45.0,44.0,53.0,57.0,68.0,71.0,81.0,90.0,94.0,94.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McBride, Martina",Love's The Only House,Country,2000-02-05,2000-04-15,79,69.0,65.0,58.0,53.0,52.0,52.0,48.0,45.0,43.0,42.0,42.0,50.0,60.0,64.0,75.0,91.0,93.0,92.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amber,Sexual (Li Da Di),Rock,1999-07-17,2000-02-12,99,99.0,96.0,96.0,100.0,93.0,93.0,96.0,,,99.0,,96.0,96.0,99.0,98.0,98.0,,95.0,88.0,88.0,79.0,76.0,69.0,69.0,59.0,58.0,58.0,49.0,44.0,42.0,46.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tippin, Aaron",Kiss This,Country,2000-08-26,2000-10-21,74,72.0,66.0,53.0,52.0,47.0,47.0,45.0,42.0,46.0,51.0,60.0,68.0,69.0,78.0,94.0,87.0,92.0,97.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SheDaisy,I Will.. But,Country,2000-07-15,2000-09-16,78,74.0,70.0,61.0,59.0,52.0,48.0,47.0,45.0,43.0,44.0,43.0,52.0,56.0,70.0,80.0,86.0,81.0,85.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Raye, Collin",Couldn't Last A Moment,Country,2000-03-18,2000-06-24,91,85.0,75.0,73.0,67.0,63.0,63.0,63.0,56.0,49.0,48.0,46.0,44.0,44.0,43.0,45.0,53.0,66.0,73.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Rob,Whoa!,Rap,2000-03-04,2000-04-15,78,59.0,53.0,52.0,47.0,46.0,43.0,47.0,47.0,58.0,54.0,57.0,70.0,85.0,84.0,93.0,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jackson, Alan",Pop A Top,Country,1999-11-13,2000-01-22,79,73.0,70.0,64.0,63.0,57.0,55.0,55.0,63.0,52.0,43.0,47.0,55.0,78.0,95.0,100.0,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Black, Clint",Been There,Country,2000-02-19,2000-04-15,87,73.0,62.0,58.0,58.0,57.0,51.0,47.0,44.0,44.0,44.0,55.0,53.0,53.0,63.0,84.0,85.0,87.0,95.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common,The Light,Rap,2000-08-05,2000-09-09,75,55.0,53.0,49.0,46.0,44.0,49.0,51.0,51.0,56.0,52.0,56.0,70.0,82.0,86.0,89.0,93.0,93.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vassar, Phil",Carlene,Country,2000-03-04,2000-04-22,75,67.0,64.0,64.0,57.0,53.0,47.0,45.0,45.0,50.0,52.0,56.0,59.0,78.0,83.0,84.0,91.0,96.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jackson, Alan",www.memory,Country,2000-11-04,2000-12-23,75,59.0,59.0,54.0,50.0,49.0,47.0,45.0,49.0,69.0,63.0,67.0,77.0,89.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitamin C,The Itch,Rock,2000-12-02,2000-12-16,86,48.0,45.0,52.0,57.0,58.0,76.0,95.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eastsidaz, The",G'D Up,Rap,2000-01-08,2000-02-12,77,77.0,89.0,64.0,57.0,47.0,47.0,55.0,65.0,69.0,83.0,82.0,90.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ideal,Whatever,R&B,2000-06-10,2000-08-19,75,75.0,67.0,73.0,64.0,56.0,54.0,54.0,54.0,48.0,47.0,50.0,60.0,68.0,73.0,81.0,92.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thomas, Carl",Emotional,Rock,2000-11-25,2000-12-30,77,63.0,61.0,58.0,54.0,47.0,53.0,52.0,49.0,52.0,60.0,62.0,69.0,69.0,63.0,76.0,87.0,82.0,91.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ginuwine,None Of Ur Friends Business,Rock,1999-12-11,2000-01-22,94,84.0,71.0,71.0,60.0,63.0,48.0,48.0,48.0,55.0,64.0,71.0,85.0,85.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Davidson, Clay",Unconditional,Country,2000-03-25,2000-06-17,97,97.0,97.0,90.0,83.0,78.0,74.0,69.0,60.0,56.0,54.0,50.0,49.0,55.0,52.0,51.0,51.0,62.0,63.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMX,What You Want,Rap,2000-07-01,2000-09-23,98,95.0,95.0,87.0,86.0,79.0,62.0,60.0,58.0,57.0,52.0,55.0,49.0,57.0,62.0,65.0,87.0,89.0,99.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"John, Elton",Someday Out Of The Blue,Rock,2000-04-22,2000-05-06,56,56.0,49.0,59.0,67.0,60.0,64.0,73.0,81.0,90.0,93.0,89.0,98.0,94.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pearl Jam,Nothing As It Seems,Rock,2000-05-13,2000-05-13,49,70.0,84.0,89.0,93.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mya,The Best Of Me,Rock,2000-04-15,2000-05-20,85,70.0,65.0,62.0,55.0,50.0,50.0,56.0,61.0,61.0,72.0,84.0,81.0,86.0,86.0,94.0,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Heatherly, Eric",Flowers On The Wall,Country,2000-04-29,2000-08-12,95,88.0,88.0,82.0,82.0,77.0,72.0,67.0,65.0,65.0,65.0,60.0,60.0,53.0,51.0,50.0,57.0,77.0,83.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eminem,Stan,Rap,2000-11-04,2000-12-02,78,67.0,57.0,57.0,51.0,51.0,51.0,57.0,55.0,70.0,69.0,77.0,88.0,93.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McEntire, Reba",I'll Be,Country,2000-05-13,2000-07-29,89,79.0,79.0,72.0,69.0,64.0,61.0,57.0,55.0,55.0,52.0,51.0,53.0,60.0,81.0,84.0,93.0,91.0,94.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lopez, Jennifer",Feelin' Good,Latin,2000-02-19,2000-04-08,79,79.0,66.0,54.0,54.0,54.0,54.0,51.0,61.0,79.0,96.0,,,64.0,74.0,73.0,79.0,82.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Urban, Keith",Your Everything,Country,2000-07-15,2000-09-16,81,80.0,73.0,73.0,67.0,64.0,60.0,59.0,53.0,51.0,55.0,66.0,84.0,90.0,96.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLC,Dear Lie,Rock,2000-02-12,2000-03-04,63,55.0,52.0,51.0,56.0,74.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gill, Vince",Feels Like Love,Country,2000-09-02,2000-11-18,82,76.0,74.0,73.0,73.0,65.0,59.0,58.0,54.0,54.0,53.0,52.0,55.0,52.0,57.0,76.0,91.0,99.0,,91.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Houston, Whitney",Could I Have This Kiss Forever,Rock,2000-06-17,2000-08-05,74,68.0,68.0,67.0,59.0,59.0,60.0,52.0,54.0,56.0,59.0,70.0,69.0,81.0,87.0,95.0,98.0,100.0,,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloodhound Gang,The Bad Touch,R&B,2000-03-18,2000-04-15,70,62.0,55.0,55.0,52.0,57.0,72.0,80.0,82.0,92.0,96.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Williams, Robbie",Angels,Rock,1999-11-20,2000-01-22,85,77.0,69.0,69.0,62.0,56.0,56.0,64.0,54.0,53.0,72.0,83.0,81.0,88.0,96.0,93.0,91.0,89.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Messina, Jo Dee",Because You Love Me,Country,2000-01-29,2000-03-11,83,78.0,71.0,71.0,66.0,55.0,53.0,57.0,61.0,61.0,61.0,72.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Keith, Toby",Country Comes To Town,Country,2000-08-05,2000-10-14,82,78.0,75.0,69.0,66.0,62.0,59.0,58.0,55.0,55.0,54.0,62.0,81.0,95.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beenie Man,Girls Dem Sugar,Reggae,2000-10-21,2000-12-02,72,72.0,63.0,56.0,62.0,63.0,54.0,60.0,69.0,75.0,84.0,92.0,85.0,84.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hill, Faith",Let's Make Love,Rap,2000-08-12,2000-10-21,83,83.0,73.0,73.0,67.0,60.0,60.0,60.0,57.0,55.0,54.0,69.0,88.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelis,Caught Out There,R&B,1999-12-04,2000-01-08,84,68.0,67.0,63.0,63.0,54.0,56.0,59.0,68.0,67.0,75.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jay-Z,Anything,Rap,2000-02-26,2000-03-11,72,58.0,55.0,55.0,63.0,74.0,86.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Doors Down,Loser,Rock,2000-10-21,2000-12-02,76,76.0,72.0,69.0,67.0,65.0,55.0,59.0,62.0,61.0,61.0,59.0,61.0,66.0,72.0,76.0,75.0,67.0,73.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooks & Dunn,You'll Always Be Loved By Me,Country,2000-06-10,2000-09-09,95,85.0,85.0,85.0,83.0,83.0,82.0,74.0,74.0,68.0,62.0,56.0,56.0,55.0,62.0,71.0,86.0,100.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chesney, Kenny",What I Need To Do,Country,2000-04-01,2000-06-10,79,74.0,68.0,72.0,69.0,69.0,62.0,58.0,57.0,57.0,56.0,56.0,56.0,72.0,80.0,93.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stone, Angie",No More Rain (In This Cloud),R&B,1999-12-25,2000-01-22,86,86.0,74.0,66.0,56.0,60.0,56.0,60.0,67.0,69.0,63.0,73.0,71.0,81.0,89.0,98.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Da Brat,That's What I'm Looking For,Rap,2000-02-26,2000-04-15,93,73.0,60.0,60.0,60.0,60.0,63.0,56.0,58.0,70.0,71.0,72.0,90.0,94.0,94.0,94.0,94.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SheDaisy,This Woman Needs,Country,2000-02-05,2000-03-04,82,70.0,70.0,67.0,57.0,57.0,61.0,68.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papa Roach,Last Resort,Rock,2000-07-29,2000-12-02,75,71.0,69.0,69.0,66.0,64.0,61.0,61.0,66.0,64.0,63.0,60.0,65.0,66.0,62.0,66.0,64.0,64.0,57.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adams, Yolanda",Open My Heart,Gospel,2000-08-26,2000-10-21,76,76.0,74.0,69.0,68.0,67.0,61.0,58.0,57.0,59.0,66.0,68.0,61.0,67.0,59.0,63.0,67.0,71.0,79.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shyne,Bad Boyz,Rap,2000-09-09,2000-10-28,94,87.0,90.0,90.0,82.0,67.0,61.0,57.0,71.0,78.0,74.0,81.0,88.0,96.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.E.M.,The Great Beyond,Rock,1999-12-25,2000-01-29,79,79.0,70.0,62.0,60.0,57.0,61.0,66.0,60.0,59.0,60.0,63.0,79.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diffie, Joe",It's Always Somethin',Country,2000-08-12,2000-09-16,81,78.0,67.0,63.0,60.0,57.0,63.0,69.0,78.0,85.0,92.0,92.0,,99.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McGraw, Tim",Some Things Never Change,Country,2000-05-13,2000-07-01,76,66.0,66.0,65.0,63.0,60.0,60.0,58.0,58.0,58.0,58.0,59.0,70.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Henley, Don",Taking You Home,Rock,2000-06-24,2000-08-05,79,77.0,74.0,73.0,66.0,62.0,58.0,58.0,61.0,68.0,71.0,71.0,79.0,83.0,85.0,87.0,83.0,90.0,87.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eminem,The Way I Am,Rap,2000-08-26,2000-09-30,87,74.0,59.0,65.0,59.0,58.0,59.0,62.0,89.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nas,You Owe Me,R&B,2000-03-25,2000-04-15,74,72.0,68.0,59.0,59.0,59.0,67.0,67.0,63.0,69.0,75.0,82.0,79.0,88.0,95.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sister Hazel,Change Your Mind,Rock,2000-07-15,2000-08-05,75,67.0,66.0,59.0,63.0,71.0,78.0,81.0,78.0,78.0,84.0,87.0,94.0,91.0,93.0,95.0,100.0,98.0,96.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puff Daddy,Best Friend,Rap,2000-02-12,2000-02-19,65,59.0,62.0,79.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McBride, Martina",There You Are,Country,2000-09-09,2000-10-21,79,75.0,75.0,75.0,73.0,64.0,60.0,60.0,60.0,63.0,63.0,82.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Usher,Pop Ya Collar,Rock,2000-11-04,2000-11-18,68,64.0,60.0,60.0,62.0,79.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lil' Kim,No Matter What They Say,Rap,2000-07-15,2000-08-05,80,72.0,67.0,60.0,65.0,73.0,81.0,86.0,90.0,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LFO,I Don't Wanna Kiss You Goodnight,Rock,2000-04-15,2000-04-22,63,61.0,68.0,73.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SheDaisy,Deck The Halls,Country,1999-12-25,2000-01-01,97,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Splender,I Think God Can Explain,R&B,2000-06-10,2000-06-24,71,66.0,62.0,62.0,62.0,64.0,65.0,71.0,81.0,89.0,95.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Simpson, Jessica",Where You Are,Rock,2000-04-01,2000-04-15,73,66.0,62.0,62.0,76.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2M,Mirror Mirror,Pop,2000-04-01,2000-05-27,87,87.0,94.0,91.0,75.0,68.0,65.0,86.0,62.0,70.0,74.0,70.0,70.0,80.0,82.0,87.0,90.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kumbia Kings,U Don't Love Me,R&B,2000-03-04,2000-03-18,81,64.0,62.0,67.0,70.0,70.0,75.0,87.0,89.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe,Treat Her Like A Lady,Rock,2000-08-05,2000-08-19,77,75.0,63.0,63.0,69.0,64.0,68.0,67.0,72.0,79.0,78.0,84.0,85.0,90.0,89.0,99.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blige, Mary J.",Deep Inside,Rock,1999-11-13,2000-01-22,83,80.0,80.0,75.0,75.0,73.0,64.0,64.0,65.0,67.0,63.0,67.0,75.0,85.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Price, Kelly",You Should've Told Me,Rock,2000-09-23,2000-12-02,91,91.0,91.0,87.0,86.0,79.0,79.0,75.0,70.0,68.0,64.0,64.0,68.0,70.0,74.0,90.0,86.0,85.0,93.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Changing Faces,That Other Woman,Rock,2000-09-30,2000-10-28,80,72.0,66.0,66.0,64.0,76.0,65.0,66.0,75.0,85.0,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wright, Chely",It Was,R&B,2000-03-04,2000-04-15,86,78.0,75.0,72.0,71.0,69.0,64.0,75.0,85.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limp Bizkit,Rollin',Rock,2000-11-11,2000-12-09,77,73.0,72.0,66.0,65.0,65.0,67.0,73.0,74.0,78.0,80.0,86.0,86.0,91.0,93.0,96.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hot Boys,I Need A Hot Girl,Rap,2000-02-19,2000-03-11,77,75.0,71.0,65.0,65.0,70.0,69.0,77.0,79.0,90.0,92.0,95.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jay-Z,Do It Again (Put Ya Hands Up),Rap,2000-01-15,2000-01-29,95,68.0,65.0,65.0,74.0,84.0,92.0,96.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adkins, Trace",More,Country,2000-04-29,2000-06-17,84,84.0,75.0,73.0,73.0,69.0,68.0,65.0,73.0,83.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dixie Chicks, The",Cold Day In July,Country,2000-06-24,2000-08-05,80,79.0,76.0,72.0,68.0,68.0,65.0,70.0,84.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Price, Kelly",As We Lay,Rock,2000-07-15,2000-08-05,82,69.0,69.0,64.0,71.0,79.0,82.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMX,What's My Name,Rap,2000-01-15,2000-02-12,98,76.0,69.0,69.0,67.0,73.0,76.0,90.0,90.0,94.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Martin, Ricky",Private Emotion,Latin,2000-03-11,2000-03-18,76,67.0,71.0,78.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nine Days,If I Am,Rock,2000-12-02,2000-12-02,68,68.0,81.0,94.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blige, Mary J.",Give Me You,Rock,2000-04-15,2000-05-13,97,94.0,77.0,76.0,68.0,77.0,89.0,90.0,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Hot Chili Peppers,Californication,Rock,2000-07-29,2000-10-14,72,72.0,72.0,77.0,79.0,77.0,75.0,84.0,85.0,79.0,74.0,69.0,74.0,75.0,77.0,71.0,78.0,89.0,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Third Eye Blind,Deep Inside Of You,Rock,2000-09-02,2000-10-07,80,73.0,70.0,70.0,70.0,69.0,72.0,79.0,90.0,97.0,95.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brooks, Garth",Do What You Gotta Do,Country,2000-02-19,2000-03-18,86,81.0,72.0,70.0,69.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Offspring, The",Original Prankster,Rock,2000-11-25,2000-12-09,74,71.0,70.0,70.0,77.0,78.0,91.0,89.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
